task,rerank_profile,selected_batch_size,test_id,repeat_id,split_seed,model_seed,n_panel_genes,n_nonzero_gain_genes,xgb_n_estimators,xgb_max_depth,xgb_learning_rate,xgb_subsample,xgb_colsample_bytree,xgb_colsample_bynode,elapsed_seconds,n_train,n_test,model_accuracy,model_balanced_accuracy,model_f1_macro,model_auc_macro_ovr,primary_metric
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_078,78,99339179,39439017,2000,1608,200,4,0.03,0.8,0.3,0.4,1655.295,508,218,0.8807339449541285,0.7825638138138138,0.7987974557741999,0.9579804020188609,0.7987974557741999
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_079,79,2104519527,1302631237,2000,1664,200,4,0.03,0.8,0.3,0.4,1676.383,508,218,0.8944954128440367,0.806493993993994,0.7974080672212812,0.9628892349986126,0.7974080672212812
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_080,80,469176315,1951162228,2000,1606,200,4,0.03,0.8,0.3,0.4,1697.508,508,218,0.8853211009174312,0.826388888888889,0.814173857462448,0.9352595547651201,0.814173857462448
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_081,81,1746264434,1977312740,2000,1631,200,4,0.03,0.8,0.3,0.4,1718.692,508,218,0.8990825688073395,0.7996433933933934,0.8125782138794084,0.9545284576280236,0.8125782138794084
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_082,82,1315986513,680588304,2000,1645,200,4,0.03,0.8,0.3,0.4,1740.036,508,218,0.9036697247706422,0.8012387387387387,0.8261427732079906,0.9668910904055812,0.8261427732079906
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_083,83,1148843278,1778424595,2000,1629,200,4,0.03,0.8,0.3,0.4,1760.77,508,218,0.908256880733945,0.8152214714714714,0.835016867635883,0.9681944178206072,0.835016867635883
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_084,84,810599131,1507882908,2000,1583,200,4,0.03,0.8,0.3,0.4,1781.752,508,218,0.8853211009174312,0.745870870870871,0.771421650055371,0.9449230658399459,0.771421650055371
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_085,85,998099208,108017007,2000,1611,200,4,0.03,0.8,0.3,0.4,1802.892,508,218,0.9036697247706422,0.7613551051051051,0.7935381071745946,0.9696768196155623,0.7935381071745946
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_086,86,1751439763,318024977,2000,1661,200,4,0.03,0.8,0.3,0.4,1824.2,508,218,0.8944954128440367,0.8225412912912913,0.8400778554252697,0.9473063827319083,0.8400778554252697
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_087,87,1179044626,1976692343,2000,1637,200,4,0.03,0.8,0.3,0.4,1845.127,508,218,0.9128440366972477,0.8292980480480481,0.8604531188980811,0.9743780707181964,0.8604531188980811
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_088,88,1702290218,371957639,2000,1570,200,4,0.03,0.8,0.3,0.4,1866.322,508,218,0.8623853211009175,0.7533783783783783,0.7709521935864646,0.9350172065242416,0.7709521935864646
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_089,89,737882215,292852027,2000,1618,200,4,0.03,0.8,0.3,0.4,1887.636,508,218,0.9036697247706422,0.8446884384384384,0.8556865839474534,0.9440418112534104,0.8556865839474534
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_090,90,1623662202,124991727,2000,1595,200,4,0.03,0.8,0.3,0.4,1908.828,508,218,0.8623853211009175,0.716403903903904,0.7521418441543914,0.9369895120040699,0.7521418441543914
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_091,91,2134882280,341463995,2000,1623,200,4,0.03,0.8,0.3,0.4,1930.038,508,218,0.8807339449541285,0.8124061561561561,0.8066015063338882,0.9431899094805235,0.8066015063338882
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_092,92,1263515166,1790223487,2000,1674,200,4,0.03,0.8,0.3,0.4,1951.296,508,218,0.9174311926605505,0.8846659159159159,0.8849177645741841,0.9680945297934173,0.8849177645741841
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_093,93,45197997,284932045,2000,1651,200,4,0.03,0.8,0.3,0.4,1972.642,508,218,0.8990825688073395,0.8256381381381381,0.8304781267873702,0.9680728009892435,0.8304781267873702
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_094,94,1367373206,2023256017,2000,1615,200,4,0.03,0.8,0.3,0.4,1994.345,508,218,0.8807339449541285,0.8173798798798799,0.8029276279276278,0.9531488338069553,0.8029276279276278
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_095,95,474960227,20169732,2000,1642,200,4,0.03,0.8,0.3,0.4,2016.394,508,218,0.8990825688073395,0.8205705705705706,0.8420107173304104,0.9624382813963723,0.8420107173304104
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_096,96,1650123342,1040734667,2000,1639,200,4,0.03,0.8,0.3,0.4,2037.734,508,218,0.8853211009174312,0.8038663663663663,0.7868869456865356,0.959488950941987,0.7868869456865356
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_097,97,694742764,1707113864,2000,1623,200,4,0.03,0.8,0.3,0.4,2058.813,508,218,0.8761467889908257,0.733765015015015,0.7459192679301376,0.9483032995751813,0.7459192679301376
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_098,98,307426007,559902894,2000,1634,200,4,0.03,0.8,0.3,0.4,2080.034,508,218,0.9128440366972477,0.8147522522522523,0.8379717941017835,0.9689145294438244,0.8379717941017835
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_099,99,508488324,442216047,2000,1630,200,4,0.03,0.8,0.3,0.4,2101.694,508,218,0.9036697247706422,0.8098723723723723,0.8388899958107267,0.9562402298334304,0.8388899958107267
ihc_subtype,auc_bytree03_bynode04_depth4,250,test_100,100,750551634,10894246,2000,1611,200,4,0.03,0.8,0.3,0.4,2122.713,508,218,0.8944954128440367,0.8326764264264264,0.8577198807334465,0.949908418765092,0.8577198807334465
